theta_in,theta_out,d_in_mm,d_out_mm,px_mm,py_mm,pz_mm,qx,qy,qz,qw
0.0,-0.6,20.0,11.0,-67.67156982421875,271.00299072265625,-295.621826171875,0.7021872997283936,-0.041672028601169586,0.0,0.7107716798782349
0.0,-0.6,20.0,11.0,-67.39643096923828,271.38037109375,-295.2505187988281,0.7034460306167603,-0.04220016300678253,0.0,0.7094947099685669
0.0,-0.6,20.0,11.0,-67.39643096923828,271.38037109375,-295.2505187988281,0.7034460306167603,-0.04220016300678253,0.0,0.7094947099685669
0.0,-0.6,20.0,11.0,-67.71472930908203,271.5480041503906,-295.932373046875,0.7029802203178406,-0.04133158177137375,0.0,0.7100074291229248
0.0,-0.6,20.0,11.0,-67.3074951171875,272.078857421875,-295.20721435546875,0.7052052021026611,-0.04146678373217583,0.0,0.7077895402908325
0.0,-0.6,20.0,14.0,-68.779296875,272.7001953125,-294.89703369140625,0.7058162093162537,-0.03951485827565193,0.0,0.7072920203208923
0.0,-0.6,20.0,14.0,-68.91485595703125,273.0846252441406,-295.2452392578125,0.7064052224159241,-0.03925327956676483,0.0,0.7067183256149292
0.0,-0.6,20.0,14.0,-68.91485595703125,273.0846252441406,-295.2452392578125,0.7064052224159241,-0.03925327956676483,0.0,0.7067183256149292
0.0,-0.6,20.0,14.0,-68.3149642944336,273.3751525878906,-295.0919494628906,0.7074085474014282,-0.04133512079715729,0.0,0.7055952548980713
0.0,-0.6,20.0,14.0,-68.14857482910156,272.8645935058594,-295.39111328125,0.7059528827667236,-0.041656333953142166,0.0,0.7070327401161194
0.0,-0.6,20.0,14.0,-68.26142120361328,271.9972229003906,-295.4031677246094,0.7039751410484314,-0.04178983345627785,0.0,0.7089940309524536
0.0,-0.6,20.0,14.0,-69.57249450683594,272.8680114746094,-295.54022216796875,0.7058200836181641,-0.03897499665617943,0.0,0.7073181867599487
0.0,-0.6,20.0,14.0,-69.57249450683594,272.8680114746094,-295.54022216796875,0.7058200836181641,-0.03897499665617943,0.0,0.7073181867599487
0.0,-0.6,20.0,14.0,-69.85102081298828,273.2999572753906,-295.5186462402344,0.7070050239562988,-0.03780357912182808,0.0,0.7061973810195923
0.0,-0.6,20.0,14.0,-70.01104736328125,272.9078674316406,-294.95745849609375,0.7066531777381897,-0.0366893969476223,0.0,0.706608235836029
0.0,-0.6,20.0,14.0,-70.54645538330078,273.0843811035156,-294.9757995605469,0.7067831158638,-0.035087112337350845,0.0,0.7065596580505371
0.0,-0.6,20.0,14.0,-70.31968688964844,272.94097900390625,-294.9817810058594,0.7066388130187988,-0.035397641360759735,0.0,0.706688404083252
0.0,-0.6,20.0,14.0,-70.31968688964844,272.94097900390625,-294.9817810058594,0.7066388130187988,-0.035397641360759735,0.0,0.706688404083252
0.0,-0.6,20.0,14.0,-70.71664428710938,273.0322570800781,-294.7041015625,0.7069487571716309,-0.03372828662395477,0.0,0.7064601182937622
0.0,-0.6,20.0,14.0,-69.81951141357422,272.49591064453125,-294.5108337402344,0.7060053944587708,-0.036770954728126526,0.0,0.7072511911392212
0.0,-0.6,20.0,14.0,-69.64187622070312,271.95794677734375,-294.4223327636719,0.7049654126167297,-0.03640863671898842,0.0,0.7083064913749695
0.0,-0.6,20.0,14.0,-70.06690979003906,272.4458923339844,-294.2630920410156,0.7065592408180237,-0.03621099516749382,0.0,0.7067268490791321
0.0,-0.6,20.0,14.0,-70.06690979003906,272.4458923339844,-294.2630920410156,0.7065592408180237,-0.03621099516749382,0.0,0.7067268490791321
0.0,-0.6,20.0,14.0,-70.45645904541016,273.59033203125,-294.03826904296875,0.7097544074058533,-0.03480977937579155,0.0,0.7035886645317078
0.0,-0.6,20.0,14.0,-70.6307144165039,273.0295104980469,-294.4051818847656,0.707542896270752,-0.03414635732769966,0.0,0.7058449387550354
0.0,-0.6,20.0,14.0,-70.03312683105469,273.67974853515625,-294.2752685546875,0.7091167569160461,-0.03652242571115494,0.0,0.7041444778442383
0.0,-0.6,20.0,14.0,-70.08547973632812,273.6774597167969,-295.0697937011719,0.7082797884941101,-0.0371687225997448,0.0,0.704952597618103
0.0,-0.6,20.0,14.0,-70.08547973632812,273.6774597167969,-295.0697937011719,0.7082797884941101,-0.0371687225997448,0.0,0.704952597618103
0.0,-0.6,20.0,14.0,-69.93548583984375,274.23077392578125,-295.0701599121094,0.7096296548843384,-0.03791176527738571,0.0,0.703554093837738
0.0,-0.6,20.0,14.0,-70.46133422851562,274.5062561035156,-295.06915283203125,0.7101530432701111,-0.0370563305914402,0.0,0.7030714750289917
0.0,-0.6,20.0,14.0,-70.47004699707031,273.6410217285156,-295.3182678222656,0.7080129981040955,-0.03673892468214035,0.0,0.7052431106567383
0.0,-0.6,20.0,14.0,-70.90821838378906,273.5788269042969,-295.3582458496094,0.7076197862625122,-0.034003037959337234,0.0,0.70577472448349
